file_name,action,tool,expected_output,estimated_time,priority
._TRN_PP_AR-8-03_V01_Akende-spetsifikatsioon.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-04_V01_Klaasfassaad-KLF-01.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-05_V01_Klaasfassaad-KLF-02.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-06_V01_Valisuste-spetsifikatsioon.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_EK_koosseis.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_EK_seletuskiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-0-01_v01_Abihoone-Tiitelleht.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-0-02_v01_Abihoone-DokNimekiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-3-01_v01_Abihoone-Seletuskiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-0-01_v01_Abihoone-Tiitelleht.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-0-02_v01_Abihoone-DokNimekiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-3-01_v01_Abihoone-Seletuskiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-0-01_v01_Abihoone-Tiitelleht (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-0-01_v01_Abihoone-Tiitelleht.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-0-02_v01_Abihoone-DokNimekiri (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-0-02_v01_Abihoone-DokNimekiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-3-01_v01_Abihoone-Seletuskiri (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-3-01_v01_Abihoone-Seletuskiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-01_V01_Abihoone-korruseplaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan (2).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan (2).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-6-01_V01_Abihoone-vaated-loige (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_EP_AS-4-01_V01_Asendiplaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_ES_AR-5-01_V01_Abihoone-korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_ES_AR-6-01_V01_Abihoone-vaated-loige.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-0-01_v01_Abihoone-Tiitelleht (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-0-01_v01_Abihoone-Tiitelleht.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-0-02_v01_Abihoone-DokNimekiri (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-0-02_v01_Abihoone-DokNimekiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-3-01_v01_Abihoone-Seletuskiri (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-3-01_v01_Abihoone-Seletuskiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-01_V01_Abihoone-korruseplaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan (2).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-01_V01_Abihoone-Korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan (2).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-5-02_V01_Abihoone-Katuse-plaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-6-01_V01_Abihoone-vaated-loige (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AR-6-02_V01_Abihoone-Vaated-loige.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AS-4-01_V01_Abihoone-Asendiplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_EP_AS-4-01_V01_Asendiplaan (1).pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_ES_AR-5-01_V01_Abihoone-korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_ES_AR-6-01_V01_Abihoone-vaated-loige.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-0-01_v01_Tiitelleht.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-0-02_v01_DokNimekiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-3-01_v01_Seletuskiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-4-01_V01_Asendiplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-4-02_V01_Valisvalgustid.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-5-01_V01_Korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-5-02_V01_Katuse-plaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-5-03_V01_Lagede-korgused.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-6-01_V01_Loiked.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-6-02_V01_Vaated.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-6-03_V01_Vaated.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-01_V01_Soklisolm.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-02_V01_Aken-vert.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-03_V01_Aken-hor-laudisega-seinas.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-04_V01_Aken-hor-fassaadiplaadiga-seinas.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-05_V01_Klaasfassaadi-ja-terrassi-solm.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-06_V01_Parapett.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-07_V01_Parapett-varikatus-klaasfassaad.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-08_V01_Katuste-uhendus.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-09_V01_Peasissepaasu-trepp.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-10_V01_Magamistoa-terrass.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-11_V01_Valisseina-sisenurk.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-7-12_V01_Vihmaveetoru-laudise-taga.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-8-01_V01_Konstr-vert.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-8-02_V01_Konstr-hor.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-8-03_V01_Akende-spetsifikatsioon.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-8-04_V01_Klaasfassaad-KLF-01.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-8-05_V01_Klaasfassaad-KLF-02.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
TRN_PP_AR-8-06_V01_Valisuste-spetsifikatsioon.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-0-01_v01_Tiitelleht.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-0-02_v01_DokNimekiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-3-01_v01_Seletuskiri.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-4-01_V01_Asendiplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-4-02_V01_Valisvalgustid.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-5-01_V01_Korruseplaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-5-02_V01_Katuse-plaan.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-5-03_V01_Lagede-korgused.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-6-01_V01_Loiked.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-6-02_V01_Vaated.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-6-03_V01_Vaated.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-01_V01_Soklisolm.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-02_V01_Aken-vert.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-03_V01_Aken-hor-laudisega-seinas.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-04_V01_Aken-hor-fassaadiplaadiga-seinas.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-05_V01_Klaasfassaadi-ja-terrassi-solm.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-06_V01_Parapett.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-07_V01_Parapett-varikatus-klaasfassaad.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-08_V01_Katuste-uhendus.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-09_V01_Peasissepaasu-trepp.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-10_V01_Magamistoa-terrass.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-11_V01_Valisseina-sisenurk.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-7-12_V01_Vihmaveetoru-laudise-taga.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-01_V01_Konstr-vert.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-02_V01_Konstr-hor.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-03_V01_Akende-spetsifikatsioon.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-04_V01_Klaasfassaad-KLF-01.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-05_V01_Klaasfassaad-KLF-02.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
._TRN_PP_AR-8-06_V01_Valisuste-spetsifikatsioon.pdf,OCR + Text extraction,Tesseract OCR,Text + dimensions,1-3 minutes,Medium
